seq_no,school_id,census_no,name,address,tel,email,province,district,zone,division,medium,sex,government_type,school_category,grade_span,difficulty,total_students
30,0115009,31,ST.JOSEPH'S BOYS V.,"GRANDPASS, COL-14",0112337560,stjosephcollege14@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Male,Provincial,1C,Grade 1-13,Congenial,928
31,0115010,32,WOLFENDHAL B.M.V.,"NO.02, VIVEKANANDA HILL, COL-13",0112431921,wolvendhal@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala/ Tamil,Female,Provincial,1C,Grade 1-13,Congenial,1440
32,0115011,33,ST.ANTHONY'S B.M.V.,"DEMATAGODA, COL-09",0112685640,stanthonys09@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Female,Provincial,1C,Grade 1-13,Not Congenial,793
33,0115012,34,CLIFTON B.M.V.,"MALIGAKANDA ROAD, COL-09",0112694489,clifton.b.v.@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Female,Provincial,1C,Grade 1-13,Congenial,922
34,0115013,35,HOLY ROSARY R.C.SIN.V.,"NO.56, CHURCH STREET, COL-02",0112328099,holyrosarysinhalav@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,124
35,0115014,36,VIHARAMAHA DEVI B.V.,"DEENS ROAD, COL-10",0112699375,vmdbvc@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Female,Provincial,Type 2,Grade 1-11,Congenial,165
36,0115015,37,HEMAMALI B.V.,"34, SRI SADDHARMA MAWATHA, COL-10",0112687629,hemamalibmv@yahoo.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Female,Provincial,1C,Grade 1-13,Congenial,829
37,0115016,38,ST.MARY'S V.,"VIVEKANANDA KANDA ROAD, COL-13",,stmaryscol13@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,131
38,0115017,39,HARWARD V.,"DAM STREET, COL-12",0112327233,harwardcoll@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,74
39,0115018,40,JAYANTHI V.,"SUWARNA CHAIYTHYA ROAD, COL-14",0112439966,jayanthividyalaya5@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,512
40,0115019,41,KOTAHENA SIN.K.V.,"200, MAHA VIDYALAYA MAWATHA, COL-13",0112434878,sis@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,653
41,0115020,42,A.E.GUNASINGHA V.,COL-12,,,Western,Colombo,Colombo,Colombo Central,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,144
42,0115021,43,ST.SEBASTIAN SIN.V.,"SILVER SMITH LANE, COL-12",0112399554,freeda.khan70@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,388
43,0115022,44,SIR BARON JAYATHILAKA V.,"MALIGAWATTA, COL-10",0112336753,sirbaron.jaya.sch@gmail.com,Western,Colombo,Colombo,Colombo Central,Sinhala,Mixed,Provincial,Type 3,Grade 1-8,Congenial,270
44,0117001,45,ROYAL COLLEGE,"RAJAKEEYA MW., COLOMBO-07",0112691029,principal@inforoyal.com,Western,Colombo,Colombo,Borella,Sinhala/ Tamil/ English,Male,National,1AB,Grade 1-13,Very Congenial,8711
45,0117002,46,ANANDA COLLEGE,COLOMBO-10,0112695503,principal_anan@slt.net.lk,Western,Colombo,Colombo,Borella,Sinhala/ English,Male,National,1AB,Grade 1-13,Very Congenial,7561
46,0117003,47,NALANDA COLLEGE,SIRI DAMMA MV COLOMBO-10,0112695227,nalanda.sch@gmail.com,Western,Colombo,Colombo,Borella,Sinhala/ English,Male,National,1AB,Grade 1-13,Very Congenial,4661
47,0117004,48,THURSTAN COLLEGE,COLOMBO-07,0112695423,tcollege2016@gmail.com,Western,Colombo,Colombo,Borella,Sinhala/ English,Male,National,1AB,Grade 1-13,Very Congenial,3495
48,0117005,49,ST.MATHEWS COLLEGE,"DEMATAGODA, COL-09",0112698709,smccolombo9@gmail.com,Western,Colombo,Colombo,Borella,Sinhala,Male,Provincial,1C,Grade 1-13,Very Congenial,867
49,0117006,50,ANANDA B.V.,"REV.SUMANGALA NAHIMI MW., COLOMBO-10",0112695385,anandabalikav10@gmail.com,Western,Colombo,Colombo,Borella,Sinhala/ English,Female,National,1AB,Grade 6-13,Very Congenial,2418
50,0117007,51,GOTHAMI B.V.,"TEMPLE ROAD, COLOMBO-10",0112691576,gothamibvcmb10@gmail.com,Western,Colombo,Colombo,Borella,Sinhala/ English,Female,National,1AB,Grade 6-13,Very Congenial,3584
51,0117008,52,ST.JOHN'S COLLEGE,"DEMATAGODA, COL-09",0112696951,st.johnscollegelive.com,Western,Colombo,Colombo,Borella,Sinhala,Male,Provincial,Type 2,Grade 1-11,Congenial,1194
52,0117009,53,SEEVALI M.M.V.,"SEEVALI LANE, COL-08",0112695884,seevalicol@gmail.com,Western,Colombo,Colombo,Borella,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,323
53,0117010,54,SUSAMAYAWARDHANA V.,AUSTIN PL.COL-08,0112694302,susamayavidyalaya@yahoo.com,Western,Colombo,Colombo,Borella,Sinhala,Male,Provincial,1C,Grade 1-13,Congenial,610
54,0117017,55,ANURUDDHA B.V.,"BASELINE RD, COL-09",0112694930,anuruddhabalikacolombo09@gmail.com,Western,Colombo,Colombo,Borella,Sinhala,Female,Provincial,1C,Grade 1-13,Congenial,919
55,0117012,56,MAHINDA V.,"ANANDA MW., COL-10",0112678586,mahindacollegecolombo@gmail.com,Western,Colombo,Colombo,Borella,Sinhala,Male,Provincial,Type 3,Grade 1-5,Congenial,557
56,0117013,57,YASODARA B.V.,"KYNSEY RD., COL-08",0112693985,yasodaravidyalaya@gmail.com,Western,Colombo,Colombo,Borella,Sinhala/ English,Female,Provincial,1AB,Grade 1-13,Congenial,2797
57,0117014,58,PRESBYTERIAN GIRL'S SCHOOL,"REGENT ST, COL-10.",0112691927,presbyteriangsrs@gmail.com,Western,Colombo,Colombo,Borella,Sinhala/ Tamil/ English,Female,Provincial,1C,Grade 1-13,Congenial,851
58,0117015,59,RATHNAWALI B.M.V.,"PARK AVENUE, COL-08.",0112692544,rathnawalicol8@gmail.com,Western,Colombo,Colombo,Borella,Sinhala,Female,Provincial,1C,Grade 1-13,Congenial,1656
59,0117016,60,D.S.SENANAYAKE COLLEGE,"R.G.SENANAYAKE MW., COLOMBO-07",0112698251,mail@dssc.edu.lk,Western,Colombo,Colombo,Borella,Sinhala/ Tamil/ English,Male,National,1AB,Grade 1-13,Very Congenial,6493
60,0117011,61,ALL SAINTS' B.M.V.,"ANANDA RAJAKARUNA MW., COL-10",0112697881,allsaintsbalika@gmail.com,Western,Colombo,Colombo,Borella,Sinhala/ English,Female,Provincial,1C,Grade 1-13,Congenial,1033
61,0117018,62,VELUWANA COLLEGE,COLOMBO-09,0112693334,veluwanavidyalaya@gmail.com,Western,Colombo,Colombo,Borella,Sinhala,Male,Provincial,1AB,Grade 1-13,Very Congenial,1138
62,0117019,63,SRI SANGHAMITHTHA B.V.,"62, ANANDA RAJAKARUNA MW, COL-10",0112699257,sangamittabalika@gmail.com,Western,Colombo,Colombo,Borella,Sinhala,Female,Provincial,Type 3,Grade 1-5,Congenial,1458
63,0117020,64,ASOKA V.,"SRI VIPULASENA MW., COL-10",0112691075,asokavidyalaya@gmail.com,Western,Colombo,Colombo,Borella,Sinhala/ English,Male,Provincial,1AB,Grade 1-13,Very Congenial,3108
64,0117021,65,C.W.W.KANNANGARA V.,"DR.DENISTER DE SILVA MW, COL-08.",0112686112,edu.kannangara.c8@gmail.com,Western,Colombo,Colombo,Borella,Sinhala/ English,Mixed,Provincial,1AB,Grade 1-13,Very Congenial,1681
65,0116001,66,DEVI B.V.,COLOMBO-08,0112691857,info@devibalika.com,Western,Colombo,Colombo,Colombo South,Sinhala/ English,Female,National,1AB,Grade 6-13,Very Congenial,2989
66,0116002,67,SUJATHA B.V.,"NARAHENPITA, COL-05.",0112502210,sujathabalikacolombo5@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala/ English,Female,Provincial,Type 2,Grade 1-11,Congenial,1285
67,0116003,68,ARETHUSA V.,"DAYA RD, COLOMBO 06.",0112589649,"aratusa.college""yahoo.com",Western,Colombo,Colombo,Colombo South,Sinhala,Male,Provincial,Type 2,Grade 1-11,Congenial,242
68,0116004,69,SRI PARAKRAMABAHU M.V.,"NARAHENPITA, COL-05.",0112502125,sriparakramabahuvid@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala,Mixed,Provincial,1C,Grade 6-13,Congenial,162
69,0116005,70,MAHAMATHYA V.,"POLHENGODA, COL-05.",0112515383,mahamathyavidyalaya@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,274
70,0116006,71,SRI SADDHARMODAYA M.V.,"POORWARAMA RD, KIRULAPONE, COL-05.",0112818516,saddharmodaya006199@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,82
71,0116007,72,S.W.R.D. BANDARANAYAKE V.,"GOTHAMI RD, COL-08.",0112676565,,Western,Colombo,Colombo,Colombo South,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,151
72,0116008,73,THIMBIRIGASYAYA VIDYATHILAKA V.,"THIMBIRIGASYAYA, COL-05.",0112505280,,Western,Colombo,Colombo,Colombo South,Sinhala,Mixed,Provincial,Type 3,Grade 1-8,Congenial,63
73,0116009,74,SIRIMAVO BANDARANAYAKE V.,"STANMORE CRESCENT, COLOMBO-07",0112258110,sirimavobv@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala/ English,Female,National,1AB,Grade 1-13,Very Congenial,3786
74,0116011,76,DUDLEY SENANAYAKA V.,"PARK RD, COL-05.",0112589558,"dudleycb5""gmail.com",Western,Colombo,Colombo,Colombo South,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,540
75,0116012,77,ISIPATHANA COLLEGE,"ISIPATHANA MW, COLOMBO-05",0112588526,isipathanacollege@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala/ Tamil/ English,Male,National,1AB,Grade 1-13,Very Congenial,4452
76,0116013,78,LUMBINI V.,"HAVELOCK TOWN, COLOMBO-05",0114385241,lumbinicl@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala/ English,Mixed,National,1AB,Grade 1-13,Very Congenial,3479
77,0116014,79,MAHANAMA COLLEGE,COLOMBO-03,0112577789,mahanamav.cmb3@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala/ English,Male,National,1AB,Grade 1-13,Very Congenial,4877
78,0116015,80,ST. PAUL'S GIRL'S SCHOOL,"MILAGIRIYA, COLOMBO-05",0112588221,principal.spm.2017@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala/ English,Female,National,1AB,Grade 1-13,Very Congenial,3728
79,0116016,81,VISAKHA V.,"VAJIRA RD, COLOMBO-05",0112588229,visakha.official@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala/ English,Female,National,1AB,Grade 1-13,Very Congenial,5191
80,0116017,82,ST.ANTHONY'S B.M.V.,"ST.ANTHONY'S MW, COL-03.",0112573390,anthonianscol3@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala/ Tamil/ English,Female,Provincial,1C,Grade 1-13,Very Congenial,617
81,0116018,83,ST.CLARE'S B.M.V.,"1ST CHAPPEL LANE, COL-06.",0112501835,scccolombosc@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala/ Tamil,Female,Provincial,1AB,Grade 1-13,Very Congenial,1455
82,0116019,84,LINDSAY B.V.,"GALLE RD, COL-03.",0112581378,,Western,Colombo,Colombo,Colombo South,Sinhala/ English,Female,Provincial,1AB,Grade 1-13,Very Congenial,1529
83,0116020,85,SRI WAISHAKA B.V.,"E.S.FERNANDO MW, WELLAWATTA, COL-06.",0777231707,,Western,Colombo,Colombo,Colombo South,Sinhala,Female,Provincial,Type 3,Grade 1-5,Congenial,25
84,0116022,87,ST.MARY'S B.M.V.,"ALWIS PLACE, COL-03.",0112449973,Ssmbmvc@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala/ English,Female,Provincial,1C,Grade 1-13,Very Congenial,461
85,0116023,88,ST.MICHAEL'S COLLEGE,"KOLLUPITYA, COL-03.",0112424234,michaelsst@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala,Male,Provincial,Type 2,Grade 1-11,Congenial,75
86,0116025,90,ST.MARY'S SIN.MIX.V.,"DUPLICATION RD, COL-04.",0112502823,schoolmaryza@gmail.com,Western,Colombo,Colombo,Colombo South,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,80
87,0105001,93,S.DE.S. JAYASINGHE CENTRAL COLLEGE,"KARAGAMPITIYA, DEHIWALA",0112717070,d.central@sdsj.sch.lk,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,1AB,Grade 6-13,Congenial,652
88,0105002,94,ST.JOHN'S COLLEGE,"HIGH LEVEL ROAD, NUGEGODA",0112854875,stjohnzmail@gmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala/ English,Male,Provincial,1AB,Grade 1-13,Very Congenial,3252
89,0105003,96,HOLY FAMILY CONVENT,"NO.100, GALLE ROAD, DEHIWALA.",0112738901,hfc.dehiwala@gmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala/ English,Female,Provincial,1AB,Grade 1-13,Congenial,1518
90,0105004,97,BUDDHAGHOSHA M.V.,"KALUBOWILA, DEHIWALA.",0114943364,buddhagoshamv@hotmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,279
91,0105005,98,PRESBYTERIAN B.V,DEHIWALA,0112714494,pgsinfor37@gmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala/ English,Female,National,1AB,Grade 1-13,Very Congenial,1762
92,0105006,99,ST.JOSEPH'S GIRL'S S.,"HIGH LEVEL ROAD, NUGEGODA",0112854172,sigsnugegoda@gmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala/ English,Female,Provincial,1AB,Grade 1-13,Very Congenial,2358
93,0105007,100,ST'MARY'S COLLEGE,"ATAPATTU MAWATHA, DEHIWALA.",0112733177,stmaryscollegedehiwala@hot mail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Male,Provincial,Type 2,Grade 1-11,Congenial,288
94,0105008,102,METHODIST V.,"ANAGARIKA DARMAPALA MAWATHA, DEHIWALA",,methodistdehiwala@gmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,46
95,0105009,103,VIJAYA V. - KARAGAMPITIYA,KARAGAMPITIYA DEHIWALA,,,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,43
96,0105010,104,SUBODHA B.V.,"SUBODHARAMA ROAD, DEHIWALA.",0112719770,,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Female,Provincial,Type 2,Grade 1-11,Congenial,117
97,0105011,105,SUMAGA V.,"UNION PLACE, KARAGAMPITIYA, DEHIWALA.",0112735695,,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,16
98,0105012,110,BUDDHIST GIRLS' COLLEGE,"STATION ROAD, MOUNT LAVINIA",0112712619,buddhistgirlscollege@gmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Female,Provincial,1AB,Grade 1-13,Congenial,2313
99,0105013,111,GIRLS' HIGH SCHOOL,"74, HOTEL ROAD, MOUNT LAVINIA",0112715412,ghstlavinia@yahoo.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Female,Provincial,1AB,Grade 1-13,Congenial,2677
100,0105014,112,SRI DHARMARAMA V.,"DHARMARAMA ROAD, RATMALANA",0112735759,sridharmarama.m.v.pilizone@hotmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,92
101,0105015,113,KOTHALAWALAPURA M.V.,RATMALANA,0112611751,kothalawalamv@yahoo.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,1C,Grade 6-13,Congenial,796
102,0105016,114,SCIENGE COLLEGE,TEMPLERS ROAD MOUNT LAVINIA,0112713033,,Western,Colombo,Piliyandala,Dehiwala,Sinhala/ English,Male,Provincial,1AB,Grade 1-13,Congenial,1874
103,0105017,116,SHASTRANANDA M.V.,"BROADWAY, KAWDANA, DEHIWALA.",0112739192,abeywardanasajeewa@gmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,1C,Grade 1-13,Congenial,571
104,0105018,117,CHRIST CHURCH COLLEGE,"AUBAN SIDE, DEHIWALA.",0114957017,christwppili@gmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Male,Provincial,Type 3,Grade 1-5,Congenial,164
105,0105019,118,ST.ANTHONY'S JUNIOR SCHOOL,"ST.ANTHONY'S ROAD, MT.LAVINIA.",,,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Congenial,273
106,0105020,119,LALITH ATHULATHMUDALI COLLEGE,"HENA ROAD, MOUNT LAVINIA.",0112714221,collegelalithathulathmudali@gmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala/ English,Male,Provincial,1AB,Grade 1-13,Congenial,1946
107,0105021,120,SRI ATHTHADASSE V.,"JAYASUMANARAMA ROAD, RATHMALANA.",,,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,93
108,0105022,121,SRI GNANENDRA V.,"SRI GNANENDRA ROAD, RATHMALANA.",0112612524,,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,83
109,0105023,122,ROMAN CATHOLIC SCHOOL,"ST'RITA'S ROAD , RATHMALANA.",0112735861,,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Not Congenial,37
110,0105024,123,KANDAWALA NAVODYA V.,"KANDAWALA ROAD, RATHMALANA.",0112632136,kandawalamv@gmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,1C,Grade 1-13,Not Congenial,505
111,0105025,124,ATTIDIYA MODEL PRIMARY SCHOOL,"ATTIDIYA, DEHIWALA",0112712944,attidiyamp@gmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,389
112,0105026,125,KAVIDHAJA V.,RATHMALANA,0112739981,,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,110
113,0105027,126,SRI PUNYAKAMI V.,GNANATHILAKA ROAD MOUNT LAVINIA,0112712264,sripunyakamy @ gmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,Type 2,Grade 1-11,Not Congenial,99
114,0105028,127,DHARMODAYA V.,"STATION ROAD, MT.LAVINIA",0112734446,darmodaya.v.pilizone@hotmail.com,Western,Colombo,Piliyandala,Dehiwala,Sinhala,Mixed,Provincial,Type 3,Grade 1-5,Congenial,363
115,0103001,129,KOLONNAWA BALIKA VIDYALAYA,"SUGUNASARA ROAD, KOLONNAWA",0112572017,kolonnawabvsch@gmail.com,Western,Colombo,Sri Jayawardanapura,Kolonnawa,Sinhala/ English,Female,National,1AB,Grade 1-13,Congenial,2740
116,0103002,130,SEDAWATTA SIDDHARTHA CENTRAL COLLEGE,WELLAMPITIYA,0112532599,ssccollegeschool@gmail.com,Western,Colombo,Sri Jayawardanapura,Kolonnawa,Sinhala,Mixed,Provincial,1AB,Grade 1-13,Not Congenial,964
117,0103007,131,SRI RAJASINGHE CENTRAL COLLEGE,"KUDA BUTHGAMUWA, MULLERIYAWA NEW TOWN",0112419137,srirajasinghev@hotmail.com,Western,Colombo,Sri Jayawardanapura,Kolonnawa,Sinhala,Mixed,National,1AB,Grade 6-13,Very Congenial,1361
118,0103004,132,SRI RAHULA MAHA VIDYALAYA,MULLERIYAWA NEW TOWN,0112578097,srirahulamv1@gmail.com,Western,Colombo,Sri Jayawardanapura,Kolonnawa,Sinhala/ English,Mixed,Provincial,1C,Grade 1-13,Very Congenial,1620
